,neuron,score
115N,115N,0.13579928229296376
397N,397N,0.13456576408550147
428N,428N,0.13442647993158147
234N,234N,0.13410738131004762
498N,498N,0.13390182156775537
63N,63N,0.13384503247025997
55N,55N,0.13365380166241497
401N,401N,0.13356948441183492
540N,540N,0.1333903490074814
167N,167N,0.133375542931989
539N,539N,0.13282366255866984
436N,436N,0.13225761693984736
564N,564N,0.1320939390909512
258N,258N,0.12953133704583386
562N,562N,0.12897405129814762
537N,537N,0.1287392217812163
545N,545N,0.12800587826375887
209N,209N,0.12761922071411505
487N,487N,0.12751549972762558
435N,435N,0.12624170706136487
365N,365N,0.12584412600653336
97N,97N,0.12516083002624123
523N,523N,0.12499287871195922
369N,369N,0.12474649820468499
111N,111N,0.12429615371591095
322N,322N,0.12427856909480081
530N,530N,0.12204023034855624
571N,571N,0.12191047687862866
175N,175N,0.11950699538395984
372N,372N,0.11897926403861338
332N,332N,0.11827315403172456
134N,134N,0.11794016218554548
512N,512N,0.11667088522908686
575N,575N,0.1162707184490079
420N,420N,0.11616513896289407
279N,279N,0.11558115145804805
502N,502N,0.11486787795293943
102N,102N,0.11484225961391517
16N,16N,0.11451979613679625
257N,257N,0.11442909106524259
223N,223N,0.11340450322804442
304N,304N,0.11155015227139292
324N,324N,0.11128556440350786
379N,379N,0.1094700316181216
464N,464N,0.10933586797770226
191N,191N,0.1072477784744401
358N,358N,0.10653541802308972
330N,330N,0.10042692218452122
287N,287N,0.09809155659868603
145N,145N,0.09653023904600802
412N,412N,0.09541785491317603
267N,267N,0.09178430507306642
0N,0N,0.09111317432642305
551N,551N,0.09098547616710863
363N,363N,0.09037449555995987
484N,484N,0.08069201386467925
46N,46N,0.07618328055196286
541N,541N,0.07292429555391841
482N,482N,0.0720436281941113
568N,568N,0.06846408722022537
459N,459N,0.06472273283352545
156N,156N,0.06120704651487259
509N,509N,0.059912018937464576
82N,82N,0.057677447191335274
492N,492N,0.03379586996574403
